investor_id,type,name,document,email,phone_number,kyc_status,suitability_profile,preferred_payout_method,status,primary_wallet_id,created_at,updated_at,trace_id
e0f38181-05d4-4cbd-a656-5e71a21abbf9,pf,Fernanda Dias,39154649641,fernanda.dias.1@yahoo.com.br,"5,52897E+12",approved,conservative,wallet,active,d5635638-5c89-4915-bb62-ad52f4bfe8f0,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
923dc925-a265-44f2-95e0-afb6cdcbb1e4,pf,Igor Silva Almeida,76886356865,igor.silva.almeida.2@gmail.com,"5,52895E+12",approved,moderate,pix,active,31a388ae-af26-446d-9758-08e1baac47be,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
84fd177e-db5c-4e45-83e5-74adefe557f5,pf,Joao Melo,30108619868,joao.melo.3@yahoo.com.br,"5,52793E+12",approved,conservative,pix,active,4d24b09e-db61-4da8-936b-7c69da9b3627,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
5e704a41-dae8-41d7-be9d-d8c7617e167f,pf,Helena Cardoso Araujo,80603339263,helena.cardoso.araujo.4@gmail.com,"5,512E+12",approved,conservative,pix,active,474262d6-4b9b-4ec6-b604-5fc67b68b01b,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
c244a6e8-96b2-4fab-ac59-23a88065ba91,pf,Matheus Costa Barbosa,7727925659,matheus.costa.barbosa.5@gmail.com,"5,58398E+12",pending,moderate,ted,active,48a43a35-f3ec-41d5-b671-3053cc6b5748,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
af6c1313-8b0f-496e-848b-e1a417ef7e3d,pf,Natalia Melo Dias,5112651504,natalia.melo.dias.6@outlook.com,"5,566E+12",approved,aggressive,pix,active,bfa5f811-a0b2-4014-917a-1ea4774f44c2,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
17323c6e-51dd-44d4-bcab-70bf612cccac,pf,Renata Barbosa Rocha,98815821523,renata.barbosa.rocha.7@yahoo.com.br,"5,51199E+12",approved,moderate,pix,active,44e659be-aa75-45ec-8684-475e984e0602,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
f2df9b4b-5892-4742-bb61-6b0ada13c214,pf,Bruna Almeida,74193935519,bruna.almeida.8@yahoo.com.br,"5,56598E+12",approved,aggressive,pix,active,6f9a79d4-7fcd-4b2e-b957-61b25a653aaa,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
cf9363ae-7d47-4707-a38a-7b73f9edcc92,pf,Jorge Gomes,7125910478,jorge.gomes.9@yahoo.com.br,"5,54197E+12",pending,moderate,pix,active,23ce303a-bb07-4956-a9f1-25693f6c3674,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
877fa1dc-2c38-42d6-ac76-c36ea4e5cdf1,pf,Talita Batista,34106002586,talita.batista.10@mail.com,"5,567E+12",approved,aggressive,pix,active,35455bf4-88f5-443f-9c7b-175634adca62,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
