borrower_id,name,document,email,phone_number,kyc_status,credit_status,risk_score,consigned_margin,consignment_agreement_id,created_at,updated_at,trace_id
a874730b-6616-4896-9bb5-2c5b0f856bf3,Aline Araujo,74908517851,aline.araujo.467@yahoo.com.br,"5,51598E+12",approved,approved,0.389785,5774.31,cfceb1a3-2be2-4cc1-98a5-ab336c775bc8,2025-10-04T12:00:00,2025-10-04T12:00:00,b22615f8-1570-4b42-8309-65293a45edc8
1ca38b98-b0b1-4cc7-9c85-cbddd0b773d8,Aline Araujo Martins,13242374223,aline.araujo.martins.255@yahoo.com.br,"5,54297E+12",approved,approved,0.604285,5697.78,8e120e32-d86f-43fc-b070-1721a6da0c23,2025-10-04T12:00:00,2025-10-04T12:00:00,29b19e1a-0b7a-45fb-a977-b34e28cf87d1
cbbfc125-c0bc-43e2-af4c-67adcb178f20,Aline Campos Santos,80390811653,aline.campos.santos.907@mail.com,"5,59596E+12",rejected,pre_approved,0.843016,5467.93,0edcde29-ce0d-4505-9cdb-156593f9b135,2025-10-04T12:00:00,2025-10-04T12:00:00,df87965e-7798-4214-b285-018155adc617
318c17af-6ae4-4f0a-b037-d2fac2f614ec,Aline Castro,88588562871,aline.castro.100@mail.com,"5,52296E+12",rejected,under_review,0.340943,4716.34,f9444228-e431-40d5-ac29-3d711e01386e,2025-10-04T12:00:00,2025-10-04T12:00:00,d59628b9-1216-4ba0-8379-873459a82c28
aeb8d36a-1e12-4c81-aa0c-bafd619a7017,Aline Cavalcanti Araujo,74431611584,aline.cavalcanti.araujo.912@gmail.com,"5,51799E+12",pending,approved,0.388394,4009.09,de77ccb4-b99c-4f52-bb1c-cce8d2532522,2025-10-04T12:00:00,2025-10-04T12:00:00,af32b9a0-05ae-4f4f-850e-deab44d1558a
b52684b9-043e-4345-92c3-ae819130af8f,Aline Cavalcanti Souza,77367321919,aline.cavalcanti.souza.109@mail.com,"5,54899E+12",pending,denied,0.303593,3523.15,fd102f75-e22e-4998-bc81-5c365b7e6009,2025-10-04T12:00:00,2025-10-04T12:00:00,70d175a5-b3e8-4d86-ad78-9731e171615c
457bb8bc-14cf-448f-859d-4d90f9c4b80c,Aline Costa Santana,50232886172,aline.costa.santana.845@outlook.com,"5,56995E+12",pending,under_review,0.572581,4307.45,900cc1e8-bc5e-447f-b6cc-f484ea0cfc49,2025-10-04T12:00:00,2025-10-04T12:00:00,c5b4d458-7b1c-4030-93e8-73e26824deea
bdbbb37c-160c-4582-b0bc-f8c08360a34c,Aline Ferreira Pereira,39675262320,aline.ferreira.pereira.55@mail.com,"5,52299E+12",pending,pre_approved,0.183995,3547.99,9f456091-964f-41a7-882a-d7030a69339b,2025-10-04T12:00:00,2025-10-04T12:00:00,52e29541-09f1-4a05-8de5-672f6d54fda8
0679303d-3cd2-4c3a-bc0a-16b218cbc316,Aline Gomes,55255925845,aline.gomes.752@mail.com,"5,59398E+12",pending,under_review,0.803686,1533.14,21b67200-03b7-4f3e-bd46-54e674c35d39,2025-10-04T12:00:00,2025-10-04T12:00:00,8c680743-e9b9-42cd-9ec8-e13a96a558e7
20088bc1-165c-4ed6-8592-491be005617c,Aline Lima,99113527576,aline.lima.802@mail.com,"5,58392E+12",pending,denied,0.264785,460.96,0a08a051-dba4-406a-8a47-1447c4d1ca4a,2025-10-04T12:00:00,2025-10-04T12:00:00,b03da797-21a2-4582-9804-c2f5e8304e95
92239669-444c-4478-bacf-f8d37e3fa400,Aline Lima Castro,37025020257,aline.lima.castro.680@yahoo.com.br,"5,58693E+12",approved,denied,0.822337,3863.55,ab3aed91-8805-4c51-b1e0-322db00f7ec0,2025-10-04T12:00:00,2025-10-04T12:00:00,f75eb6fc-847c-49f6-90bd-55cd34f95f7a
a3176099-3eef-404e-b212-0fa961626904,Aline Pereira,38711923504,aline.pereira.145@gmail.com,"5,54292E+12",pending,under_review,0.781915,5644.81,f8789c6d-3e99-4257-977d-d759171e1d94,2025-10-04T12:00:00,2025-10-04T12:00:00,f541c311-7af5-4494-aaea-c9752f6a502e
e99703fd-ed2c-4fdf-a7ff-784c6f902b20,Aline Pereira Nogueira,81248683790,aline.pereira.nogueira.106@yahoo.com.br,"5,59792E+12",pending,approved,0.556868,375.95,b48ac739-8743-487c-b6d4-81fb052d6990,2025-10-04T12:00:00,2025-10-04T12:00:00,05f2d42b-0690-46eb-a41f-4fd4f28a1e24
445ded30-2c29-4dcd-bd26-daa90b212fb7,Aline Pires,18059560603,aline.pires.962@yahoo.com.br,"5,51396E+12",approved,denied,0.474865,4034.73,e68a3452-59f1-4c76-8a71-0674dd72883d,2025-10-04T12:00:00,2025-10-04T12:00:00,f83cd789-3d88-4432-81f6-54d5ca0edc1c
ae710c4d-b028-44a7-a96d-5f28cb491a98,Aline Rocha,80733532705,aline.rocha.551@gmail.com,"5,59696E+12",rejected,approved,0.719080,1041.22,eea88b91-2567-424e-88c3-8d87feeed1f2,2025-10-04T12:00:00,2025-10-04T12:00:00,daeaf3ae-aa3a-4078-904a-680d343f2730
fe87944b-a781-4c98-a4c9-b61fe0f0888e,Aline Rodrigues,70938461141,aline.rodrigues.560@mail.com,"5,566E+12",pending,approved,0.816027,2089.07,c3078952-7c33-4fc3-a075-adee5993ebf0,2025-10-04T12:00:00,2025-10-04T12:00:00,329f27a5-bde1-4b8d-8989-871c84218874
