borrower_id;name;document;email;phone_number;kyc_status;credit_status;risk_score;consigned_margin;consignment_agreement;trace_id;created_at;updated_at
a2835eb7-2f4f-4999-8d01-c2d1ec33afe8;Aline Araujo;74908517851;aline.araujo.467@yahoo.com.br;5,51598E+12;approved;approved;0.389785;5774.31;8035de72-cd3d-470a-bb45-ab813cea0641;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
23e3ad3b-ca0e-4f9e-af37-58f279a66384;Aline Araujo Martins;13242374223;aline.araujo.martins.255@yahoo.com.br;5,54297E+12;approved;approved;0.604285;5697.78;b3a1abba-6308-4218-b96b-3255f5397165;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
da4ad186-5265-4430-8393-064eb86d22b8;Aline Campos Santos;80390811653;aline.campos.santos.907@mail.com;5,59596E+12;rejected;pre_approved;0.843016;5467.93;99a53442-7b62-4641-9259-1213bfff62af;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
4903fd43-6f66-491f-816b-ae8810fe1ec6;Aline Castro;88588562871;aline.castro.100@mail.com;5,52296E+12;rejected;under_review;0.340943;4716.34;3b0fbb3f-e1c2-4976-98cb-856cb8822701;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
04079191-d5a9-4bbe-98bb-d45e1ca55068;Aline Cavalcanti Araujo;74431611584;aline.cavalcanti.araujo.912@gmail.com;5,51799E+12;pending;approved;0.388394;4009.09;;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
69648c01-45c7-4ef4-927e-67de95cf41e9;Aline Cavalcanti Souza;77367321919;aline.cavalcanti.souza.109@mail.com;5,54899E+12;pending;denied;0.303593;3523.15;;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
b3ac6ad3-8b28-48c6-9b09-52b04485d561;Aline Costa Santana;50232886172;aline.costa.santana.845@outlook.com;5,56995E+12;pending;under_review;0.572581;4307.45;3c24bb6b-17fd-4f72-9edb-24412085c2be;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
b90e94f8-add9-4d24-9c0d-3b586a45a7e5;Aline Ferreira Pereira;39675262320;aline.ferreira.pereira.55@mail.com;5,52299E+12;pending;pre_approved;0.183995;3547.99;a8bdc459-568d-45e5-b498-1fad5b7f7352;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
59962a27-ce20-4189-ab83-7a392e1b198d;Aline Gomes;55255925845;aline.gomes.752@mail.com;5,59398E+12;pending;under_review;0.803686;1533.14;24a94453-6ec3-4484-81b9-f70c6c97e021;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
2176134e-a5fc-42c9-818a-f93aa82c06f7;Aline Lima;99113527576;aline.lima.802@mail.com;5,58392E+12;pending;denied;0.264785;460.96;0c4805bc-727e-4e0b-b009-4f774780dccf;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
71c4da5a-e163-42ab-9182-cde2598c13ef;Aline Lima Castro;37025020257;aline.lima.castro.680@yahoo.com.br;5,58693E+12;approved;denied;0.822337;3863.55;13890880-78e0-46fb-949e-0f6dd65450b1;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
edad6386-1037-4a19-a2ee-adfb6e606959;Aline Pereira;38711923504;aline.pereira.145@gmail.com;5,54292E+12;pending;under_review;0.781915;5644.81;7b075f32-1178-430a-b60c-6618cbb7e456;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
2dc84690-aca8-42bd-94ae-1496ad4009d6;Aline Pereira Nogueira;81248683790;aline.pereira.nogueira.106@yahoo.com.br;5,59792E+12;pending;approved;0.556868;375.95;607bef8c-8b34-4d25-b11b-694e36759d2b;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
82a1919b-2c5a-497a-b31d-a00f9f0c72b8;Aline Pires;18059560603;aline.pires.962@yahoo.com.br;5,51396E+12;approved;denied;0.474865;4034.73;e7d5dcf3-9a6b-44fb-8fbf-563cc05ca001;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
2d583044-713d-45c6-a063-c87c3f606f02;Aline Rocha;80733532705;aline.rocha.551@gmail.com;5,59696E+12;rejected;approved;0.719080;1041.22;40a8e899-d3a7-4455-a3fa-af7eb2070860;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
5f5232e1-16bc-44fb-bbad-62cae1c45fe3;Aline Rodrigues;70938461141;aline.rodrigues.560@mail.com;5,566E+12;pending;approved;0.816027;2089.07;;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
df3fd1f2-2b12-42fb-a161-cab80d8834c8;Aline Souza;70004646231;aline.souza.294@mail.com;5,56992E+12;pending;approved;0.424904;4027.30;b198e1bc-d475-4009-a026-5d1fff8e4598;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00
