assessment_id,subject_type,subject_id,provider,status,score,decision_reasons,evidences,natural_person_key,legal_person_key,external_reference,trace_id,created_at,updated_at
5c699093-e5e4-4dc2-8372-3fe6f734fa4e,borrower,c92c3d38-1799-41f3-ac09-afa0673d1709,qi_risk,approved,0.725073,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-10273583228,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
af836713-cc6b-4ceb-9f8c-fb92295c222c,borrower,8b1e1d16-8baf-49fc-99f7-4f808b79ee03,qi_risk,rejected,0.951829,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-10457224802,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
bc86c747-c72b-4075-82f3-d4c667fc6627,borrower,72fd0efe-4660-4899-b043-6a8ef2585291,qi_risk,rejected,0.660089,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-11779078872,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
ba6513b9-c3d3-4208-9d3a-877afdb3b3c3,borrower,55baeafc-cb82-40b0-8ddd-7e8d09d44f79,qi_risk,pending,0.384718,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-12774969191,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
dc173899-8a29-49cf-ada5-d057178ed3a6,borrower,e94360b6-48ce-4d2e-a525-87e00490c168,qi_risk,rejected,0.578948,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-13295397881,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
12ba9589-e9bd-4f2e-8508-258f734d058c,borrower,6e5259f6-52cb-4ee0-a9e4-27dabf6e0a8f,qi_risk,rejected,0.694447,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-13393596501,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
34e79e02-4049-451d-875b-21968005b6fb,borrower,cad3da50-b955-4485-967a-4a9441d6bcbf,qi_risk,approved,0.513308,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-14873909129,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
98c910a9-b319-4526-b4d6-0bb72dc94e1a,borrower,c95590ed-728c-4a1b-9e9c-8fd91e746501,qi_risk,pending,0.543042,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-15257127215,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
4bce0ccd-77b3-4fd3-b784-e310d4f128c7,borrower,6a145692-86e6-4137-8c50-7a457fb007e6,qi_risk,pending,0.904939,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-15670738166,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
8641287b-f868-4507-8baf-0999974eca09,borrower,41102147-8527-4ea1-a8f8-f032ab2acf28,qi_risk,pending,0.332966,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-16862590345,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
9ebdb865-c5f0-4c54-95e1-b241c8a2f917,borrower,0099db62-56bf-4b44-a3f2-379248077cff,qi_risk,rejected,0.893457,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-20676268256,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
5b710fb6-ba01-46ac-8658-abc166a65d2b,borrower,16695e53-2027-429a-b71f-22a1d6922f5e,qi_risk,pending,0.850762,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-20761511092,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
857a11e1-28ba-40f4-b60d-c30e00073fcd,borrower,dbe90a34-7f0c-41b5-8d18-e987b717cf9d,qi_risk,rejected,0.394028,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-22478662809,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
d2ec7620-5af2-4450-9f20-b6c7abccaf4a,borrower,52866a31-fdc4-4ed4-817d-d1b4e0f34036,qi_risk,approved,0.904546,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-23429588038,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
59bacb86-a358-4a00-8979-b4e09cbafbb4,borrower,d50e810e-7f17-41b9-8ed7-a391cb283e95,qi_risk,rejected,0.604853,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-23762346388,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
4230c70f-95f8-4693-a49c-89a3b8343913,borrower,a0bf84fc-3236-4455-96d6-7ca3fa3e6658,qi_risk,pending,0.177306,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-25612947906,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
d7cf1266-ce86-46e4-9362-6e7afcfec9df,borrower,780b57c2-10b6-4ba4-88a2-a1c7e1676b29,qi_risk,approved,0.499352,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-26306391773,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
5c581fbb-cb69-4a55-93e6-1097e18418c4,borrower,34c593c7-b927-48c1-842b-80d08f596399,qi_risk,pending,0.221656,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-26423068011,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
2612e8d9-490e-4301-8a3d-bffcbf441e45,borrower,4a8f0e93-b8a6-43a0-9461-8b70402c2667,qi_risk,pending,0.870920,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-28738345877,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
2a8d34d6-1f31-4f17-80f8-eabce289629e,borrower,eb42c6fd-1323-4751-8479-5be889474974,qi_risk,approved,0.455125,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-29568976596,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
8725321d-5955-42a4-9adb-05e5e4f5d6c5,borrower,38f78c62-3f3b-4dce-942a-9ac679db5e0d,qi_risk,approved,0.941035,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-30145383704,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
6f33519b-8007-494c-bf98-e906c047596d,borrower,5d993a09-b23a-4e27-8741-6f243fe65e22,qi_risk,pending,0.932544,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-30177283585,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
b06f512c-f32c-4851-9f7f-086306b926d0,borrower,014fad59-6557-49d6-9f95-49fcc63bcbaf,qi_risk,approved,0.606979,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-31268418562,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
42d4827b-0695-49c6-bf6d-d418cc66cf4d,borrower,3c0ea30a-df3c-489f-b3b7-6759a5790484,qi_risk,pending,0.845384,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-32100449371,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
1ff65fd0-aea0-4ce6-958e-ea54315fc91a,borrower,718493a4-c721-4d72-9154-35eae9105a19,qi_risk,pending,0.966839,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-32168639057,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
950bc5de-5d43-44f7-a964-b64a7f6f2483,borrower,91870b5d-449b-477c-a5e0-6b5438df4629,qi_risk,approved,0.165315,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-32337720338,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
a4b1a20a-2195-4618-90fa-394ed356844c,borrower,af104290-dda3-43b7-a20a-140075fe962b,qi_risk,approved,0.344566,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-33729093804,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
cf3fabfd-ea1b-462f-908d-3e80b814d965,borrower,ff171e59-94ae-4267-97fd-7f6f69660e5a,qi_risk,pending,0.350976,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-34307810434,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
03b2412d-f866-4b2e-985b-43ccca1ef735,borrower,b5c7e6be-df30-4ecd-914c-604b9eec051a,qi_risk,pending,0.530350,"{""income_verification"": ""ok""}","{""inss"": ""linked""}",NP-35186364804,,,seed-inss-based,2025-10-04T12:00:00,2025-10-04T12:00:00
