investor_id;type;name;document;email;phone_number;kyc_status;suitability_profile;preferred_payout_method;status;trace_id;created_at;updated_at;primary_wallet
cf70bc30-2420-48df-9370-cd43ab1986b5;pf;Fernanda Dias;39154649641;fernanda.dias.1@yahoo.com.br;5,52897E+12;approved;conservative;wallet;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;abfb3c26-b2f2-42d4-9b67-a03ca7286e88
2317f188-1103-4cad-861e-9af0af555295;pf;Igor Silva Almeida;76886356865;igor.silva.almeida.2@gmail.com;5,52895E+12;approved;moderate;pix;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;cc587dc8-c953-4386-9b88-89181c950c2a
a3cfa402-20e1-4bcb-81a6-37ea957f838c;pf;Joao Melo;30108619868;joao.melo.3@yahoo.com.br;5,52793E+12;approved;conservative;pix;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;82940567-bdab-4a9c-977a-2bde72bd2e20
e7dc8788-6826-415b-900a-0dc290d90935;pf;Helena Cardoso Araujo;80603339263;helena.cardoso.araujo.4@gmail.com;5,512E+12;approved;conservative;pix;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;1e5e4289-e205-4f48-9ff2-d4d9acd39f69
d1494a03-bb87-4b23-a6dc-7659793de8b0;pf;Matheus Costa Barbosa;7727925659;matheus.costa.barbosa.5@gmail.com;5,58398E+12;pending;moderate;ted;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;43572226-c596-4b64-9cf2-c908d23c205b
818ddf93-05d4-4324-94ad-072dbdb74174;pf;Natalia Melo Dias;5112651504;natalia.melo.dias.6@outlook.com;5,566E+12;approved;aggressive;pix;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;f61bbf35-6f17-412f-a587-eb22292b5003
f86f26f4-f77d-42df-a125-088ec1b7adfb;pf;Renata Barbosa Rocha;98815821523;renata.barbosa.rocha.7@yahoo.com.br;5,51199E+12;approved;moderate;pix;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;898066c8-199c-4ad6-880d-6224d901e282
5c258880-fee2-42a9-abe6-0b0d6ebf0ca2;pf;Bruna Almeida;74193935519;bruna.almeida.8@yahoo.com.br;5,56598E+12;approved;aggressive;pix;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;be5870f5-9eab-4cfa-a0ca-66b767ee2c03
9915f0b1-4f93-4f41-9eba-99e15c2577a7;pf;Jorge Gomes;7125910478;jorge.gomes.9@yahoo.com.br;5,54197E+12;pending;moderate;pix;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;ca896930-94e2-41db-9858-d7471196c9df
74d5488a-e933-4be1-86e7-94e99684f174;pf;Talita Batista;34106002586;talita.batista.10@mail.com;5,567E+12;approved;aggressive;pix;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;d888d1f9-adea-44f6-b054-8fda15a671df
6405bbca-d934-4571-969f-b094123ab0e6;pf;Ricardo Lima Araujo;30606292201;ricardo.lima.araujo.11@yahoo.com.br;5,52894E+12;approved;conservative;pix;active;seed-inss-based;2025-10-04T12:00:00;2025-10-04T12:00:00;15fa984b-d072-4e4f-abf0-0f8106ff6737
